indicador,count,mean,std,min,25%,50%,75%,max,ano
IAN_2020,727.0,7.43,2.56,2.5,5.0,5.0,10.0,10.0,2020
IDA_2020,727.0,6.32,2.96,0.0,4.7,7.0,8.7,10.0,2020
IEG_2020,727.0,7.68,2.38,0.0,6.6,8.5,9.5,10.0,2020
IAA_2020,727.0,8.37,1.73,0.0,7.95,8.8,9.2,10.0,2020
IPS_2020,727.0,6.74,1.37,2.5,5.6,7.5,7.5,10.0,2020
IPP_2020,727.0,7.07,1.99,0.0,6.95,7.5,8.1,10.0,2020
IPV_2020,727.0,7.24,1.77,0.0,6.9,7.6,8.1,10.0,2020
IAN_2021,686.0,6.9,2.48,2.5,5.0,5.0,10.0,10.0,2021
IDA_2021,686.0,5.43,2.14,0.0,4.1,5.85,6.9,9.5,2021
IEG_2021,686.0,6.82,2.46,0.0,5.3,7.2,8.8,10.0,2021
IAA_2021,686.0,8.15,2.19,0.0,7.9,8.8,9.5,10.0,2021
IPS_2021,686.0,6.84,1.46,0.0,6.9,7.5,7.5,8.8,2021
IPP_2021,686.0,7.58,1.07,0.0,7.3,7.7,8.1,10.0,2021
IPV_2021,686.0,7.41,1.63,0.0,6.6,7.7,8.6,10.0,2021
IAN_2022,862.0,6.42,2.39,2.5,5.0,5.0,10.0,10.0,2022
IDA_2022,862.0,6.07,2.06,0.0,4.8,6.3,7.6,9.9,2022
IEG_2022,862.0,7.88,1.65,0.0,7.0,8.3,9.1,10.0,2022
IAA_2022,862.0,8.26,2.08,0.0,7.9,8.8,9.5,10.0,2022
IPS_2022,862.0,6.9,1.07,2.5,6.2,7.5,7.5,10.0,2022
IPP_2022,862.0,6.29,1.14,0.0,5.6,6.2,7.0,9.2,2022
IPV_2022,862.0,7.25,1.1,2.5,6.7,7.3,7.9,10.0,2022
